sentence_id,model_entities,rule_entities
0,3,3
1,1,1
2,2,2
3,4,4
4,5,5
5,2,2
6,1,1
7,4,4
8,6,6
9,2,2
10,4,4
11,0,0
12,3,3
13,2,2
14,1,1
15,5,5
16,4,4
17,3,3
18,5,5
19,3,3
20,2,2
21,2,2
22,4,4
23,6,6
24,3,3
25,3,3
26,4,4
27,2,2
28,2,2
29,1,1
30,9,9
31,7,7
32,5,5
33,1,1
34,3,3
35,5,5
36,6,6
37,2,2
38,1,1
39,2,2
40,5,5
41,3,3
42,1,1
43,6,6
44,4,4
45,3,3
46,1,1
47,2,2
48,1,1
49,2,2
50,5,5
51,4,4
52,3,3
53,3,3
54,3,3
55,1,1
56,1,1
57,3,3
58,3,3
59,3,3
60,2,2
61,2,2
62,1,1
63,0,0
64,2,2
65,1,1
66,3,3
67,1,1
68,3,3
69,1,1
70,1,1
71,2,2
72,3,3
73,0,0
74,2,2
75,2,2
76,2,2
77,1,1
78,1,1
79,2,2
80,0,0
81,2,2
82,1,1
83,1,1
84,2,2
85,2,2
86,0,0
87,2,2
88,0,0
89,2,2
90,1,1
91,1,1
92,3,3
93,2,2
94,1,1
95,2,2
96,4,4
97,6,6
98,1,1
99,2,2
100,0,0
101,4,4
102,4,4
103,1,1
104,5,5
105,0,0
106,7,7
107,6,6
108,4,4
109,2,2
110,1,1
111,0,0
112,0,0
113,1,1
114,2,2
115,0,0
116,0,0
117,4,4
118,0,0
119,2,2
120,5,5
121,2,2
122,1,1
123,8,8
124,0,0
125,6,6
126,5,5
127,3,3
128,3,3
129,1,1
130,2,2
131,8,8
132,10,10
133,4,4
134,3,3
135,7,7
136,5,5
137,11,11
138,3,3
139,6,6
140,3,3
141,4,4
142,4,4
143,2,2
144,1,1
145,3,3
146,1,1
147,2,2
148,1,1
149,8,8
150,3,3
151,3,3
152,2,2
153,7,7
154,0,0
155,5,5
156,9,9
157,4,4
158,6,6
159,7,7
160,3,3
161,2,2
162,8,8
163,6,6
164,7,7
165,5,5
166,1,1
167,1,1
168,1,1
169,11,11
170,1,1
171,2,2
172,0,0
173,0,0
174,10,10
175,5,5
176,0,0
177,5,5
178,2,2
179,3,3
180,3,3
181,0,0
182,6,6
183,4,4
184,1,1
185,1,1
186,8,8
187,4,4
188,2,2
189,8,8
190,3,3
191,9,9
192,7,7
193,4,4
194,3,3
195,4,4
196,1,1
197,2,2
198,2,2
199,1,1
200,1,1
201,4,4
202,4,4
203,1,1
204,3,3
205,2,2
206,1,1
207,2,2
208,1,1
209,0,0
210,1,1
211,2,2
212,1,1
213,4,4
214,1,1
215,1,1
216,1,1
217,2,2
218,0,0
219,2,2
220,0,0
221,1,1
222,1,1
223,1,1
224,2,2
225,3,3
226,0,0
227,0,0
228,1,1
229,1,1
230,2,2
231,1,1
232,1,1
233,4,4
234,5,5
235,1,1
236,1,1
237,2,2
238,3,3
239,4,4
240,1,1
241,3,3
242,2,2
243,1,1
244,1,1
245,1,1
246,1,1
247,1,1
248,0,0
249,1,1
250,0,0
251,3,3
252,4,4
253,1,1
254,1,1
255,1,1
256,1,1
257,1,1
258,0,0
259,3,3
260,1,1
261,2,2
262,2,2
263,1,1
264,1,1
265,4,4
266,3,3
267,3,3
268,2,2
269,2,2
270,5,5
271,0,0
272,6,6
273,2,2
274,1,1
275,3,3
276,3,3
277,3,3
278,1,1
279,1,1
280,7,7
281,4,4
282,1,1
283,4,4
284,2,2
285,0,0
286,8,8
287,4,4
288,0,0
289,2,2
290,2,2
291,2,2
292,1,1
293,3,3
294,5,5
295,5,5
296,1,1
297,2,2
298,2,2
299,6,6
300,6,6
301,2,2
302,2,2
303,2,2
304,1,1
305,4,4
306,3,3
307,0,0
308,0,0
309,3,3
310,3,3
311,7,7
312,1,1
313,2,2
314,1,1
315,1,1
316,6,6
317,3,3
318,3,3
319,3,3
320,0,0
321,2,2
322,1,1
323,3,3
324,4,4
325,1,1
326,5,5
327,2,2
328,3,3
329,4,4
330,6,6
331,3,3
332,4,4
333,4,4
334,5,5
335,5,5
336,5,5
337,1,1
338,4,4
339,6,6
340,2,2
341,2,2
342,4,4
343,2,2
344,3,3
345,1,1
346,2,2
347,8,8
348,0,0
349,4,4
350,2,2
351,1,1
352,4,4
353,0,0
354,1,1
355,2,2
356,6,6
357,6,6
358,10,10
359,5,5
360,2,2
361,1,1
362,7,7
363,1,1
364,1,1
365,0,0
366,2,2
367,5,5
368,3,3
369,3,3
370,4,4
371,1,1
372,2,2
373,1,1
374,0,0
375,2,2
376,2,2
377,1,1
378,3,3
379,0,0
380,4,4
381,0,0
382,1,1
383,4,4
384,2,2
385,5,5
386,5,5
387,1,1
388,5,5
389,1,1
390,0,0
391,3,3
392,0,0
393,2,2
394,0,0
395,1,1
396,6,6
397,5,5
398,1,1
399,3,3
400,2,2
401,6,6
402,1,1
403,0,0
404,2,2
405,5,5
406,3,3
407,4,4
408,1,1
409,0,0
410,0,0
411,0,0
412,4,4
413,0,0
414,2,2
415,1,1
416,2,2
417,1,1
418,3,3
419,3,3
420,4,4
421,0,0
422,3,3
423,3,3
424,1,1
425,3,3
426,1,1
427,4,4
428,1,1
429,3,3
430,2,2
431,3,3
432,3,3
433,2,2
434,2,2
435,3,3
436,2,2
437,1,1
438,2,2
439,1,1
440,4,4
441,1,1
442,2,2
443,3,3
444,3,3
445,2,2
446,2,2
447,2,2
448,3,3
449,3,3
450,2,2
451,2,2
452,2,2
453,1,1
454,2,2
455,2,2
456,5,5
457,2,2
458,4,4
459,3,3
460,4,4
461,1,1
462,1,1
463,7,7
464,8,8
465,6,6
466,4,4
467,1,1
468,4,4
469,2,2
470,2,2
471,6,6
472,0,0
473,2,2
474,6,6
475,6,6
476,0,0
477,1,1
478,1,1
479,1,1
480,0,0
481,1,1
482,4,4
483,5,5
484,3,3
485,4,4
486,2,2
487,4,4
488,6,6
489,1,1
490,6,6
491,3,3
492,2,2
493,5,5
494,2,2
495,3,3
496,2,2
497,4,4
498,1,1
499,3,3
