candidate,score,rank
Candidate_107,0.5804563164710999,1
Candidate_681,0.5378260895022399,2
Candidate_230,0.5163370283824289,3
Candidate_269,0.46631342251738334,4
Candidate_744,0.4644228938882589,5
Candidate_857,0.4425261859190788,6
Candidate_682,0.4026416300888383,7
Candidate_227,0.383864260351875,8
Candidate_1,0.3811304751362896,9
Candidate_268,0.3763796389102936,10
Candidate_603,0.37082627148646685,11
Candidate_42,0.36807328499001446,12
Candidate_408,0.36230728030204773,13
Candidate_512,0.35646128840702046,14
Candidate_515,0.3553328877937637,15
Candidate_229,0.3549800874238264,16
Candidate_680,0.34764236709195484,17
Candidate_714,0.34691553737876707,18
Candidate_711,0.34632921393931143,19
Candidate_186,0.3435503843306248,20
Candidate_746,0.34350377321243286,21
Candidate_405,0.34343172412882517,22
Candidate_228,0.33328693706277085,23
Candidate_827,0.32986414432525635,24
Candidate_555,0.32913738489151,25
Candidate_513,0.3289395321415347,26
Candidate_433,0.3204067397961385,27
Candidate_406,0.32028538238130083,28
Candidate_46,0.3192753791809082,29
Candidate_604,0.317559168170145,30
Candidate_434,0.3137417907690688,31
Candidate_829,0.3133736918932244,32
Candidate_657,0.3125390530834765,33
Candidate_270,0.3121689260005951,34
Candidate_747,0.31124605254837906,35
Candidate_712,0.3109701329697389,36
Candidate_141,0.29762446880340576,37
Candidate_484,0.2940629955859213,38
Candidate_4,0.2920273468098445,39
Candidate_108,0.29025495052337646,40
Candidate_602,0.28947327859144356,41
Candidate_514,0.2877914119086343,42
Candidate_44,0.2852376103401184,43
Candidate_145,0.2848741137566294,44
Candidate_2,0.2831220030784607,45
Candidate_458,0.2806136350484667,46
Candidate_407,0.27719799862087774,47
Candidate_41,0.27429261803627014,48
Candidate_457,0.2711717712292752,49
Candidate_785,0.26719915866851807,50
Candidate_5,0.2646212577819824,51
Candidate_552,0.26342296600341797,52
Candidate_553,0.2612195312976837,53
Candidate_713,0.25167107582092285,54
Candidate_825,0.24939897656440735,55
Candidate_142,0.24835258722305298,56
Candidate_854,0.24698227643966675,57
Candidate_659,0.24180296324557063,58
Candidate_658,0.23410944741365863,59
Candidate_745,0.22811733186244965,60
Candidate_459,0.22621729099897936,61
Candidate_298,0.219523508110494,62
Candidate_105,0.2180204540491104,63
Candidate_43,0.21168233454227448,64
Candidate_743,0.21135601832109885,65
Candidate_432,0.20589881603702492,66
Candidate_320,0.20542195439338684,67
Candidate_322,0.20437155974874813,68
Candidate_321,0.20269895459125054,69
Candidate_788,0.20227039733971555,70
Candidate_266,0.2014191895723343,71
Candidate_482,0.19877049804079414,72
Candidate_456,0.19447807300641665,73
Candidate_436,0.19288785755634308,74
Candidate_853,0.1923830807209015,75
Candidate_826,0.18647164106369019,76
Candidate_144,0.18410995602607727,77
Candidate_893,0.18182574212551117,78
Candidate_323,0.18180012702941895,79
Candidate_226,0.1815369792481294,80
Candidate_460,0.17841882073001697,81
Candidate_435,0.17764251856515217,82
Candidate_856,0.1707065132769156,83
Candidate_855,0.16832181811332703,84
Candidate_297,0.16533255577087402,85
Candidate_828,0.1622137427330017,86
Candidate_786,0.15936218344506065,87
Candidate_656,0.15718931674010653,88
Candidate_655,0.1553596705198288,89
Candidate_710,0.1518760323524475,90
Candidate_324,0.14826883375644684,91
Candidate_486,0.14659095504256808,92
Candidate_85,0.14538981020450592,93
Candidate_404,0.1453370960706942,94
Candidate_787,0.14220282435417175,95
Candidate_601,0.1419379711151123,96
Candidate_556,0.1418149173259735,97
Candidate_88,0.14050373435020447,98
Candidate_3,0.1285570114850998,99
Candidate_188,0.1272299438714981,100
Candidate_89,0.12721160054206848,101
Candidate_189,0.12716281414031982,102
Candidate_789,0.12426257133483887,103
Candidate_267,0.12147442251443863,104
Candidate_895,0.12075207670796538,105
Candidate_190,0.11947678029537201,106
Candidate_894,0.11941013485193253,107
Candidate_554,0.11880955100059509,108
Candidate_483,0.11287093907594681,109
Candidate_896,0.10620095000740065,110
Candidate_106,0.09678640961647034,111
Candidate_897,0.09541286549673987,112
Candidate_86,0.08962467312812805,113
Candidate_87,0.08755232393741608,114
Candidate_109,0.08418720215559006,115
Candidate_600,0.08399720157213077,116
Candidate_485,0.07961754500865936,117
Candidate_300,0.06892397254705429,118
Candidate_187,0.05540607124567032,119
Candidate_296,0.028289098140650098,120
Candidate_299,0.00870504230260849,121
