candidate,score,rank
Candidate_656,0.8541495517239318,1
Candidate_657,0.8102643489837646,2
Candidate_896,0.7536233137050292,3
Candidate_856,0.7077531764921365,4
Candidate_406,0.685804032777627,5
Candidate_322,0.6845559936677184,6
Candidate_655,0.6733699546277049,7
Candidate_456,0.6631820999615758,8
Candidate_320,0.6540694156250517,9
Candidate_408,0.6513904382474344,10
Candidate_515,0.630900996698585,11
Candidate_682,0.5977595109118423,12
Candidate_681,0.5899691173606765,13
Candidate_680,0.5881943292300631,14
Candidate_555,0.5863721951452325,15
Candidate_482,0.5753359887482667,16
Candidate_300,0.562495044945975,17
Candidate_659,0.5571277852759943,18
Candidate_460,0.5451623575053515,19
Candidate_268,0.5378995165009535,20
Candidate_46,0.5303654618406403,21
Candidate_747,0.5127447473321622,22
Candidate_484,0.5124716482424225,23
Candidate_230,0.5001468537971403,24
Candidate_513,0.4998734146573014,25
Candidate_658,0.48770450507998125,26
Candidate_105,0.48375613803608436,27
Candidate_552,0.478006684778796,28
Candidate_186,0.471250541903549,29
Candidate_228,0.4453018436310274,30
Candidate_270,0.44105236951707094,31
Candidate_459,0.4344310819243956,32
Candidate_855,0.41665660418838035,33
Candidate_789,0.40244145691394806,34
Candidate_829,0.39682640918951784,35
Candidate_227,0.3955630057330713,36
Candidate_601,0.3931237358611876,37
Candidate_436,0.38657665470880737,38
Candidate_788,0.3846684861680208,39
Candidate_893,0.3844889333262006,40
Candidate_600,0.37964765854595506,41
Candidate_107,0.3643386839864354,42
Candidate_4,0.35477492918562226,43
Candidate_144,0.3540056665739516,44
Candidate_483,0.35229986906051636,45
Candidate_603,0.35034236293195636,46
Candidate_786,0.3476403282461767,47
Candidate_297,0.34545599949186134,48
Candidate_41,0.3452616035938263,49
Candidate_269,0.3253028690814972,50
Candidate_145,0.3242333650691515,51
Candidate_43,0.3204771876335144,52
Candidate_602,0.3176175806862549,53
Candidate_857,0.3112871050834656,54
Candidate_825,0.3072507916187138,55
Candidate_298,0.30468528705746345,56
Candidate_296,0.30281495220493615,57
Candidate_44,0.28831459963277645,58
Candidate_189,0.2870733396672142,59
Candidate_324,0.2857975317329681,60
Candidate_42,0.28554288934393074,61
Candidate_141,0.2853357091406982,62
Candidate_457,0.28455140401159745,63
Candidate_190,0.2758218547629253,64
Candidate_828,0.2752621784511435,65
Candidate_712,0.27071162264690174,66
Candidate_743,0.2688402525709909,67
Candidate_407,0.2672599389917222,68
Candidate_854,0.26617713444884106,69
Candidate_458,0.26474945958385987,70
Candidate_321,0.26431339979171753,71
Candidate_3,0.2642889557471972,72
Candidate_710,0.2607704614505217,73
Candidate_485,0.2601345181465149,74
Candidate_604,0.2597933267403177,75
Candidate_1,0.2595003226928363,76
Candidate_895,0.2572237418514792,77
Candidate_266,0.25700822472572327,78
Candidate_827,0.2557451792189144,79
Candidate_5,0.2457529455423355,80
Candidate_405,0.2428943753375313,81
Candidate_89,0.24198597741213052,82
Candidate_187,0.23747571846340157,83
Candidate_556,0.23574204981530378,84
Candidate_299,0.2332759211936871,85
Candidate_711,0.22632228040744318,86
Candidate_553,0.22176454961299896,87
Candidate_714,0.21465928852558136,88
Candidate_785,0.2139473182407779,89
Candidate_108,0.21136130392551422,90
Candidate_826,0.20944945514202118,91
Candidate_512,0.19791515595980522,92
Candidate_432,0.1976723650236396,93
Candidate_188,0.19579730927944183,94
Candidate_404,0.1956759074446049,95
Candidate_109,0.17693689465522766,96
Candidate_746,0.16897732924397715,97
Candidate_323,0.1685393116000767,98
Candidate_554,0.16516152024269104,99
Candidate_744,0.16272290213260124,100
Candidate_514,0.15981268045915598,101
Candidate_787,0.14836038352997624,102
Candidate_897,0.14366329788144733,103
Candidate_106,0.13716186583042145,104
Candidate_434,0.13235898664290038,105
Candidate_894,0.13148168569144686,106
Candidate_435,0.1298132707497115,107
Candidate_486,0.1293693315819369,108
Candidate_433,0.11496659358374026,109
Candidate_229,0.11040643122100628,110
Candidate_226,0.10782860219478607,111
Candidate_142,0.0951099616522954,112
Candidate_85,0.09408767521381378,113
Candidate_267,0.08526448905467987,114
Candidate_713,0.08300457236468381,115
Candidate_2,0.07584811747074127,116
Candidate_745,0.07569680455196458,117
Candidate_87,0.07325102388858795,118
Candidate_853,0.0732382982969284,119
Candidate_86,0.06423419713973999,120
Candidate_88,0.05801873281598091,121
