candidate,score,rank
Candidate_513,0.6458855724819708,1
Candidate_515,0.57082804582519,2
Candidate_896,0.5479294657707214,3
Candidate_296,0.5111324806244874,4
Candidate_682,0.44738268365722134,5
Candidate_457,0.4400778494736725,6
Candidate_514,0.434522030327807,7
Candidate_512,0.42195914079964114,8
Candidate_604,0.41821067341147244,9
Candidate_680,0.41099166514623525,10
Candidate_42,0.4015508331920723,11
Candidate_681,0.3994310337318575,12
Candidate_656,0.39578618318047426,13
Candidate_186,0.3797814067850126,14
Candidate_404,0.36302780937896245,15
Candidate_897,0.36045300936930746,16
Candidate_484,0.36031699118118,17
Candidate_107,0.35523932852087675,18
Candidate_714,0.35162376383107197,19
Candidate_268,0.3461205006572987,20
Candidate_408,0.34432506648245026,21
Candidate_407,0.3423353237171315,22
Candidate_711,0.3296364616716174,23
Candidate_406,0.32569296971720096,24
Candidate_893,0.32060205936431885,25
Candidate_854,0.31816405603463493,26
Candidate_269,0.3145065155787754,27
Candidate_458,0.31030845197884177,28
Candidate_459,0.3015208648214316,29
Candidate_270,0.29936373236124175,30
Candidate_713,0.2987961513092274,31
Candidate_322,0.29681143685722483,32
Candidate_230,0.2906828450696961,33
Candidate_46,0.28842779994010925,34
Candidate_603,0.2862808650395132,35
Candidate_658,0.2839160874692515,36
Candidate_746,0.28178375637662584,37
Candidate_555,0.28092630346940445,38
Candidate_827,0.279689222574234,39
Candidate_785,0.2779558903524037,40
Candidate_552,0.276273956209484,41
Candidate_141,0.2751372021673285,42
Candidate_229,0.27148841451912836,43
Candidate_456,0.27040133018937174,44
Candidate_227,0.27037086421229056,45
Candidate_44,0.26820802688598633,46
Candidate_710,0.2674354280327127,47
Candidate_435,0.26569670784318666,48
Candidate_659,0.25973877006715895,49
Candidate_829,0.2566761191157398,50
Candidate_433,0.25588686522294357,51
Candidate_266,0.253307044506073,52
Candidate_486,0.24962073098058643,53
Candidate_602,0.2462098532125028,54
Candidate_786,0.24598909254992513,55
Candidate_298,0.24112036319267396,56
Candidate_712,0.23930049119955932,57
Candidate_747,0.2364094653651312,58
Candidate_655,0.23325843860150644,59
Candidate_744,0.2327874163661607,60
Candidate_657,0.21636935326676798,61
Candidate_41,0.21428266167640686,62
Candidate_894,0.2104172644481019,63
Candidate_553,0.21033117175102234,64
Candidate_297,0.2045862078666687,65
Candidate_482,0.20440435781156796,66
Candidate_432,0.1963287055657429,67
Candidate_788,0.19443522716418735,68
Candidate_436,0.1927995130637437,69
Candidate_895,0.18972423672676086,70
Candidate_853,0.18787422752223534,71
Candidate_188,0.1867571771144867,72
Candidate_320,0.18429827690124512,73
Candidate_85,0.1820463603768123,74
Candidate_105,0.1810819155651242,75
Candidate_405,0.17538729925414778,76
Candidate_321,0.17500743384404593,77
Candidate_483,0.17433760905899442,78
Candidate_855,0.17375528812408447,79
Candidate_787,0.1722609554466963,80
Candidate_825,0.170051904737634,81
Candidate_228,0.1685005909841436,82
Candidate_828,0.1680179387331009,83
Candidate_3,0.16468936936966602,84
Candidate_226,0.15933530495379722,85
Candidate_190,0.15814964473247528,86
Candidate_745,0.1577146675462146,87
Candidate_1,0.1555072008304183,88
Candidate_299,0.15289644949371214,89
Candidate_856,0.15061863300068812,90
Candidate_460,0.15040150068039632,91
Candidate_43,0.15000933408737183,92
Candidate_89,0.14705997962607553,93
Candidate_86,0.1461944729089737,94
Candidate_743,0.1459282817911926,95
Candidate_108,0.14429429173469543,96
Candidate_434,0.1442040503025055,97
Candidate_144,0.1401752233505249,98
Candidate_88,0.1379738450050354,99
Candidate_187,0.13497871160507202,100
Candidate_485,0.1341256946325302,101
Candidate_189,0.1289028525352478,102
Candidate_601,0.12844288333089324,103
Candidate_4,0.12608706925083107,104
Candidate_323,0.12152349232298329,105
Candidate_5,0.11991823464632034,106
Candidate_300,0.10434985508375266,107
Candidate_857,0.10088698796456214,108
Candidate_554,0.1003892570734024,109
Candidate_826,0.09700744599103928,110
Candidate_106,0.09353838860988617,111
Candidate_142,0.08905692440496456,112
Candidate_145,0.08207866793072811,113
Candidate_109,0.07839346677064896,114
Candidate_87,0.07364369928836823,115
Candidate_789,0.07210604846477509,116
Candidate_2,0.06290433555841446,117
Candidate_324,0.0594661720097065,118
Candidate_556,0.058649652388141335,119
Candidate_600,0.020557727501402154,120
Candidate_267,0.0,121
