candidate,score,rank
Candidate_896,0.732112467288971,1
Candidate_604,0.7189638314448461,2
Candidate_407,0.6910676862044746,3
Candidate_459,0.6534754155961714,4
Candidate_406,0.6297090220889117,5
Candidate_456,0.6160145305505196,6
Candidate_680,0.610903800441156,7
Candidate_296,0.5943793881371756,8
Candidate_408,0.5802155671369673,9
Candidate_404,0.5512040799944792,10
Candidate_460,0.5437080696491269,11
Candidate_893,0.5199344975818636,12
Candidate_1,0.5074381791073445,13
Candidate_512,0.49792011600622793,14
Candidate_681,0.47704027084674366,15
Candidate_603,0.4666344236331032,16
Candidate_785,0.4653982627730659,17
Candidate_513,0.4533757677285889,18
Candidate_895,0.44841928108971585,19
Candidate_515,0.44744111926850494,20
Candidate_682,0.42462645742965627,21
Candidate_897,0.4233960154819276,22
Candidate_458,0.42018643262623134,23
Candidate_46,0.4133269786834717,24
Candidate_89,0.4048469136936464,25
Candidate_746,0.40305099297208535,26
Candidate_656,0.3979198725081085,27
Candidate_405,0.3975981845436374,28
Candidate_436,0.3974534248541564,29
Candidate_322,0.39474771675277276,30
Candidate_602,0.39436256750920073,31
Candidate_457,0.3881699456754588,32
Candidate_553,0.38419963816610403,33
Candidate_713,0.38371953959625504,34
Candidate_433,0.38331769728579707,35
Candidate_141,0.37691062588631485,36
Candidate_555,0.3680110653878704,37
Candidate_186,0.3657295489416067,38
Candidate_298,0.3603206255043389,39
Candidate_711,0.3567881420814868,40
Candidate_658,0.3550399112701478,41
Candidate_747,0.35162003093950106,42
Candidate_787,0.34467557041039365,43
Candidate_107,0.34171533075856,44
Candidate_786,0.33936031911829784,45
Candidate_552,0.3377836673949663,46
Candidate_788,0.33713737730294935,47
Candidate_855,0.33698484714394356,48
Candidate_321,0.33434419527894205,49
Candidate_712,0.3315514352885357,50
Candidate_4,0.3264742877572937,51
Candidate_41,0.3243436813354492,52
Candidate_854,0.3236777037886255,53
Candidate_829,0.32163427708563747,54
Candidate_434,0.31110101743968105,55
Candidate_435,0.3102403652214955,56
Candidate_514,0.3061642787829569,57
Candidate_228,0.30338490665783424,58
Candidate_42,0.30204868855869793,59
Candidate_44,0.3019883632659912,60
Candidate_857,0.3008544886807185,61
Candidate_853,0.2996202495634285,62
Candidate_145,0.2995373129195932,63
Candidate_482,0.29885612586122073,64
Candidate_3,0.2985518487966504,65
Candidate_230,0.2960588370676853,66
Candidate_825,0.29169015909875595,67
Candidate_657,0.29129532099941374,68
Candidate_2,0.2901806719470058,69
Candidate_828,0.2891606678557307,70
Candidate_227,0.2868380669025512,71
Candidate_432,0.28516761232098825,72
Candidate_744,0.28453030606419477,73
Candidate_554,0.28094086050987244,74
Candidate_300,0.2776037423066389,75
Candidate_601,0.2775666278341668,76
Candidate_268,0.27711966617046296,77
Candidate_714,0.2765834214085865,78
Candidate_655,0.27567459413094786,79
Candidate_5,0.272269070148468,80
Candidate_827,0.26865249429468513,81
Candidate_266,0.26484236121177673,82
Candidate_710,0.26359771898924117,83
Candidate_105,0.2593269457065578,84
Candidate_743,0.2589486886923203,85
Candidate_269,0.25593477888183164,86
Candidate_270,0.255883973055936,87
Candidate_745,0.253245172642761,88
Candidate_320,0.24899297952651978,89
Candidate_856,0.2450087816728354,90
Candidate_323,0.24483890803247862,91
Candidate_484,0.23930981312818977,92
Candidate_142,0.238553115318634,93
Candidate_229,0.23762289917559257,94
Candidate_297,0.23282309049113867,95
Candidate_894,0.23279382302956123,96
Candidate_556,0.22987184215553447,97
Candidate_144,0.22481249272823334,98
Candidate_87,0.2197108119726181,99
Candidate_299,0.21569906892376484,100
Candidate_190,0.2142980957684971,101
Candidate_85,0.2131793749469275,102
Candidate_88,0.2068338692188263,103
Candidate_43,0.2065863460302353,104
Candidate_187,0.20519113169992395,105
Candidate_483,0.20076921582221985,106
Candidate_789,0.19511663718900785,107
Candidate_324,0.19508366177251665,108
Candidate_826,0.18525667488574982,109
Candidate_86,0.18153168261051178,110
Candidate_486,0.1803557374482701,111
Candidate_188,0.17577558755874634,112
Candidate_659,0.16875547704853716,113
Candidate_485,0.16655203700065613,114
Candidate_600,0.16429102444067809,115
Candidate_226,0.1589295582481246,116
Candidate_106,0.13311876356601715,117
Candidate_189,0.1293523415370352,118
Candidate_109,0.11403395235538483,119
Candidate_108,0.10120170563459396,120
Candidate_267,0.0,121
