candidate,score,rank
Candidate_322,0.7071572462749899,1
Candidate_829,0.5904899765242341,2
Candidate_145,0.5636399467146748,3
Candidate_144,0.5597977936267853,4
Candidate_142,0.5393886844406187,5
Candidate_141,0.5240583771669324,6
Candidate_555,0.506038301822384,7
Candidate_825,0.5016353566046021,8
Candidate_856,0.49163904621463517,9
Candidate_603,0.4815291235885949,10
Candidate_321,0.47141956861559586,11
Candidate_827,0.42077683231703095,12
Candidate_323,0.4116757425715539,13
Candidate_436,0.41014108935765997,14
Candidate_433,0.4093057555249579,15
Candidate_459,0.39663038766009207,16
Candidate_711,0.3893267621800868,17
Candidate_828,0.38390557480193177,18
Candidate_552,0.37681958243245484,19
Candidate_1,0.3749712826943406,20
Candidate_432,0.366009608972162,21
Candidate_854,0.3649915844904823,22
Candidate_3,0.36185450636394756,23
Candidate_458,0.35243872843324237,24
Candidate_320,0.34851434474109394,25
Candidate_857,0.34586016201824404,26
Candidate_407,0.3373988300325601,27
Candidate_744,0.33025720357521504,28
Candidate_602,0.32465568697658337,29
Candidate_554,0.32254473492903835,30
Candidate_713,0.3082335159203481,31
Candidate_406,0.30471608735226924,32
Candidate_405,0.29752623032812775,33
Candidate_853,0.2957105648301989,34
Candidate_460,0.295234885832713,35
Candidate_855,0.2945348070825075,36
Candidate_601,0.2923502412620501,37
Candidate_789,0.29063867047387915,38
Candidate_714,0.2838419949946273,39
Candidate_747,0.2805037010352123,40
Candidate_785,0.27672858147093377,41
Candidate_435,0.26551031765861544,42
Candidate_515,0.2643692331888301,43
Candidate_681,0.2614984720194403,44
Candidate_189,0.2609687070612731,45
Candidate_826,0.25926846881673593,46
Candidate_298,0.2553610970458563,47
Candidate_513,0.2536452710377348,48
Candidate_659,0.25167920761148965,49
Candidate_408,0.2514214813709259,50
Candidate_553,0.24846674678002045,51
Candidate_655,0.2473634114531035,52
Candidate_4,0.24610663084475504,53
Candidate_456,0.24171467887967124,54
Candidate_788,0.23605343522106348,55
Candidate_434,0.2306337459459432,56
Candidate_745,0.22754477360653355,57
Candidate_786,0.22554242120187612,58
Candidate_746,0.2251697515582983,59
Candidate_324,0.2238070114020509,60
Candidate_186,0.22377335257558517,61
Candidate_484,0.2233840009678819,62
Candidate_604,0.22187805087058146,63
Candidate_89,0.2206839770078659,64
Candidate_42,0.21741581979462796,65
Candidate_556,0.21483152068102085,66
Candidate_743,0.20707896123572503,67
Candidate_658,0.20597495068371793,68
Candidate_300,0.20466078008690014,69
Candidate_44,0.20312806963920593,70
Candidate_657,0.20244943094062678,71
Candidate_5,0.198988139629364,72
Candidate_269,0.19888435172447452,73
Candidate_680,0.19878908614495078,74
Candidate_297,0.1981986165046692,75
Candidate_482,0.19564844150398317,76
Candidate_41,0.18801911175251007,77
Candidate_600,0.1877405884858909,78
Candidate_787,0.18200811440683723,79
Candidate_896,0.1784214278605672,80
Candidate_230,0.17713813483715057,81
Candidate_682,0.17683053016662598,82
Candidate_107,0.17458347304088465,83
Candidate_710,0.17353696307390096,84
Candidate_712,0.17316955417011395,85
Candidate_227,0.16996797919273376,86
Candidate_105,0.16780357403975613,87
Candidate_229,0.16704459488391876,88
Candidate_514,0.16359763901640995,89
Candidate_404,0.1607293840379889,90
Candidate_46,0.1574130356311798,91
Candidate_43,0.15618236362934113,92
Candidate_656,0.15290263295173645,93
Candidate_512,0.14631532065568054,94
Candidate_893,0.14602608978748322,95
Candidate_85,0.1382504314083796,96
Candidate_108,0.13503395020961761,97
Candidate_228,0.13020100903441598,98
Candidate_266,0.128649380012981,99
Candidate_190,0.12818864978952108,100
Candidate_270,0.12464834787933265,101
Candidate_268,0.12321721017360687,102
Candidate_106,0.12279487409642602,103
Candidate_457,0.12250540901508053,104
Candidate_88,0.10688702396176528,105
Candidate_296,0.10632205444632828,106
Candidate_187,0.10508691309366001,107
Candidate_485,0.1027742400765419,108
Candidate_894,0.0973929762840271,109
Candidate_86,0.08912891894578934,110
Candidate_2,0.0869961529970169,111
Candidate_486,0.08055706686792041,112
Candidate_299,0.08033397793769836,113
Candidate_483,0.07839866727590561,114
Candidate_188,0.07825011014938354,115
Candidate_895,0.07014078244606423,116
Candidate_87,0.06301695853471756,117
Candidate_226,0.0476720966398716,118
Candidate_897,0.035606689751148224,119
Candidate_109,0.017979208379983902,120
Candidate_267,0.0,121
